NO ,PIMPINAN WILAYAH,LINK INSTAGRAM,LINK WEBSITE,KET,RTL SEPT (VIDEO),RTL SEPT (BERITA),RTL OKT (VIDEO),RTL OKT (BERITA),RTL NOV (VIDEO),RTL NOV (BERITA),RTL DES (VIDEO),RTL DES (BERITA)
43,Universitas Muhammadiyah Sidenreng Rappang ,https://www.instagram.com/umsrappang.id?igsh=MTg0ZmpjMGs1MHR5OA==,https://umsrappang.ac.id/,banyak kolaborasi dengan kkn,43,34,0,18,0,23,,
12,Pimpinan Wilayah Muhammadiyah Jawa Timur,https://www.instagram.com/pwmjatim?igsh=MTNnNTdsMWs4NG03eg==,http://pwmjatim.org/,,1,33,0,35,0,25,,
11,Pimpinan Wilayah Muhammadiyah Jawa Tengah,https://www.instagram.com/jatengmu?igsh=c3FqazljM3B4amY0,https://pwmjateng.com/,,68,30,37,26,49,39,,
19,Pimpinan Wilayah Muhammadiyah Lampung,https://www.instagram.com/muhammadiyah.lampung?igsh=MTZlZXVwb3h4eGZqZQ==,https://pwmlampung.or.id/,,1,26,1,20,6,14,,
7,Pimpinan Wilayah Muhammadiyah DKI Jakarta,https://www.instagram.com/pwmjakarta?igsh=bDA0eTZuNHVpZGEx,tidak ditemukan,,0,22,0,23,0,19,,
6,Pimpinan Wilayah Muhammadiyah Daerah Istimewa Yogyakarta,https://www.instagram.com/pwmdiy?igsh=NTg0djNyN2l0amZ1,https://pwmdiy.mu.or.id/,mediamu.com ,25,20,7,28,16,19,,
10,Pimpinan Wilayah Muhammadiyah Jawa Barat,https://www.instagram.com/muhammadiyah.jawabarat?igsh=MWhrM2RkMndtOGtx,https://jabar.muhammadiyah.or.id/,,4,20,1,16,11,10,,
21,Pimpinan Wilayah Muhammadiyah Maluku Utara,https://www.instagram.com/pwmmalut20_25?igsh=MXR1anhsbzR3NDRzdA==,tidak ditemukan,,3,19,1,8,0,5,,
44,Universitas Muhammadiyah Palopo,https://www.instagram.com/umpalopo?igsh=MXRlanV2ZnYwOTFrMA==,https://umpalopo.ac.id/,,3,15,14,27,9,16,,
15,Pimpinan Wilayah Muhammadiyah Kalimantan Tengah,https://www.instagram.com/muhammadiyah_kalteng?igsh=dHdjaG81N2luanE3,https://kaltengmu.com/,,1,13,1,15,1,4,,
